           0 ps       U       U       UUUU       UU
           0 ps       0       U       UUUU       00
        5000 ps       0       1       0000       00
       10000 ps       1       1       0000       00
       20000 ps       0       1       0000       00
       25000 ps       0       0       0000       00
       30000 ps       1       0       0000       00
       30000 ps       1       0       0000       01
       40000 ps       0       0       0000       01
       50000 ps       1       0       0000       01
       60000 ps       0       0       0000       01
       65000 ps       0       0       1101       01
       70000 ps       1       0       1101       01
       70000 ps       1       0       1101       10
       80000 ps       0       0       1101       10
       85000 ps       0       0       0000       10
       90000 ps       1       0       0000       10
      100000 ps       0       0       0000       10
      105000 ps       0       0       1111       10
      110000 ps       1       0       1111       10
      110000 ps       1       0       1111       11
      120000 ps       0       0       1111       11
      130000 ps       1       0       1111       11
